Id,Last Edit / Deliberation Comment / Need to review,on/off,Empirical research specificity,Word / Pattern,Category name,Subitem category (functional role of sentence ( flow logic),Sensitivity to Additional Parameter,Sensitivity to Additional Parameter,Subitem category (functional role of sentence              ( flow logic),Sensitivity to Additional Parameter,Description,Status,Weight - TBD by Machine,Category number,MarkerTypeId,comment
3703,matan,,,doubts as to,problem statement,,,if in introduction section,,,NULL,1,,30,13,
,,,,does not give adequate information on,limitation,,if in conclusion section,,,,,,,5,,
708,,,,directions for future research,recommendation,,,,,,NULL,1,,31,6,
4158,,,,directions for further research,recommendation,,,,,,NULL,1,,31,6,
707,,,,directions for additional research,recommendation,,,,,,NULL,1,,31,6,
,,,,difficult to draw firm conclusions given the small sample size and the difficulties,limitation,,,,,,,,,5,,
,,,,difficult to draw firm conclusions,limitation,,,,,,,,,5,,
694,,,,difficult to distinguish,problem statement,,if in introduction,,,,NULL,1,,30,6,
,,,,did not provide for,limitation,,if in conclusion section,,,,,,,5,,
,,,,did not allow for,limitation,,if in conclusion section,,,,,,,5,,
,,,,"Despite the importance of the findings, there were a number of limitations to the ",limitation,,if in conclusion section,,,,,,,5,,
,,,,despite the fact that,problem statement,if in introduction section,,,,,,,,30,,
611,,,,deeper understanding of,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,NULL,1,,6,8,NULL
612,,,,deepen your understanding of,contribution,,,,,,deepen% * understanding of,1,,8,8,NULL
Sep13,,,,data sparseness,limitation,,if in discussion or in conclusion section,,,,,,,5,,
,,,,danger of,problem statement,if in introduction,,,,,,,,30,,
579,,,,crucial link between,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,NULL,1,,6,8,NULL
7263,,,,creates a conceptual framework,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,create% a conceptual framework,1,,6,8,NULL
,,,,could be used effectively as a,contribution,,if in conclusion section,,,,,,,8,,
,,,,could be influencing our results,limitation,,,,,,,,,5,,
,,,,convenience sampling framework,limitation,,,,,,,,,5,,
Sep13,,,,contributions of this,contribution,,any,"if contains self ref, deictic work ref",,,,,,8,,
6013,,,,contributions,contribution,,any,if contains self ref or deictic work ref,,,contribution%,1,,8,6,
532,,,,contribution to,contribution,,any,"if contains self ref, deictic work ref",,,NULL,1,,8,6,
Sep13,,,,contribution of this,contribution,,any,"if contains self ref, deictic work ref",,,,,,8,,
Sep13,,,,contribution of,contribution,,any,"if contains self ref, deictic work ref",,,,,,8,,
530,,,,contribution,contribution,,any,"if contains self ref, deictic work ref",,,NULL,1,,8,6,
3224,,,,contributes to your understanding of,contribution,,,,,,contribute% to * understanding of,1,,8,8,NULL
,,,,contributes to the research on … by examining,contribution,,if in conclusion section,,,,,,,8,,
529,,,,contributes to an understanding of...,contribution,,,,,,contribute% to an understanding of,1,,8,8,NULL
,,,,constitute a potential … hazard to,problem statement,if in introduction,,,,,,,,30,,
,,,,complex and multi-faceted issue,problem statement,if early sentences of abstract,,,,,,,,30,,
,,,,clarify the relationship between,contribution,,,,,,,,,8,,
400,,,empirical,clarification of the relationship between,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,NULL,1,,6,8,NULL
,,,,circumvent the need,contribution,,if in conclusion section,,,,,,,8,,
,,,,challenge remains,limitation,,if in discussion or in conclusion section,,,,,,,6,,
381,,,,challenge remains,problem statement,,if appears in introduction,,,,NULL,1,,30,6,
6894,,,,certain amount of caution,limitation,limitation,,if appears after results section or in conclusions section,,,NULL,1,,13,13,
373,,,,central to our understanding of,contribution,,,,,,central to ** understanding of,1,,8,8,NULL
,,,,central issue,problem statement,,,if in introduction section,,,,,,30,,
Sep13,,,,caution must be used,limitation,,"if appears in discussion or 
in conclusion sections",,,,,,,6,,
,,,,caution must be exercised when,limitation,,,,,,,,,5,,
Sep13,,,,caution is warranted,limitation,,"if appears in discussion or 
in conclusion sections",,,,,,,6,,
349,,,,cannot be generalized,limitation,,"if appears in discussion or 
in conclusion sections",,,,NULL,1,,5,21,NULL
6615,,,,can help you to,contribution,,,,,,can help * to,1,,8,8,NULL
3217,,,,can contribute to,contribution,,any,"if contains self ref, deictic work ref",,,* contribute% to,1,,8,8,NULL
Sep13,,,,can be used,recommendation,,,,,,,,,31,,
6346,,,,call into question,problem statement,,if in introduction,,,,NULL,1,,30,16,NULL
Sep13,,,,biases,limitation,,if in discussion or in conclusion section,,,,,,,6,,
292,,,empirical,bias associated with,limitation,,if in discussion or in conclusion section,,,,NULL,1,,6,6,
6867,,,,better understanding of,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,* understanding of,1,,6,8,NULL
3223,,,,benefits were,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,* benefits **,1,,6,8,NULL
3222,,,,benefits include,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,NULL,1,,6,8,NULL
6631,,,,benefits are,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,* benefits **,1,,6,8,NULL
3221,,,,benefit is,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,benefit% *,1,,6,8,NULL
,,,,been disappointing,problem statement,,if in introduction,,,,,,,30,,
Sep13,,,,avenues of future research,recommendation,,,,,,,,,31,,
Sep13,,,,avenues of future,recommendation,,,,,,,,,31,,
Sep13,,,,avenues for improvement,recommendation,,,,,,,,,31,,
Sep13,,,,avenue for improvement,recommendation,,,,,,,,,31,,
Sep13,,,,attempts should be made,recommendation,recommendation,,,,,,,,31,,
,matan,,,attempt to fill this gap between,problem statement,,,if in introduction,,,,,,30,,
196,,,,as yet no,problem statement,,if in introduction section,,,,NULL,1,,30,6,
4106,matan,,,as predicted,hypothesis/research question,research question,self ref,deictic work ref,,,,0,,26,25,NULL
7993,matan,,,as hypothesized,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
172,,,,areas for further research,recommendation,future research,,if appears in conclusion section,,,NULL,1,,6,6,
169,,,,are still not completely understood,problem statement,problem statement,,if appears in Introduction section,,,NULL,1,,30,6,
,,,,are required,problem statement,,if in introduction section,,,,,,,30,,
,,,,are needed,problem statement,,if in introduction section,,,,,,,30,,
,,,,are much higher … than,problem statement,if in introduction,,,,,,,,30,,
,,,,are a precious resource and it important that,problem statement,if in introduction,,,,,,,,30,,
,,,,appear to be inconsistent with,problem statement,if in introduction,,,,,,,,30,,
,,,,Another potential limitation is,limitation,,,,,,,,,5,,
,,,,Another possible limitation relates to,limitation,,,,,,,,,5,,
,,,,Another important area of future inquiry concerns,recommendation,,,,,,,,,31,,
119,,,,anecdotal results,limitation,,,if appears after results section or in conclusions section,,,NULL,1,,6,6,
118,,,,anecdotal evidence,limitation,,,if appears after results section or in conclusions section,,,NULL,1,,6,6,
,,,,and raise questions about causal direction,limitation,,,,,,,,,5,,
Sep13,,,,an understanding of,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,,,6,,
,,,,An interesting line of future research could be,recommendation,,if in conclusion section,,,,,,,31,,
,,,,an effective ... for,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,,,8,,
,,,,Although this limitation is partially offset by,limitation,,,,,,,,,5,,
,,,,"Although potential benefits … could be …, … face … challenge",problem statement,,,,,,,,,30,,
,,,,although it leads to  ... problems,problem statement,,if in introduction section,,,,,,,30,,
,,,,although,problem statement,if in introduction sec,,,,,,,,30,,
,matan,,,almost no,problem statement,,,if in introduction section,,,,,,30,,
81,,,,allows you to,contribution,contribution,,,,,NULL,1,,8,8,NULL
7633,,,,allows us to,contribution,contribution,,,,,allows * to,1,,8,6,
,,,,allows the treatment of,contribution,,if in introduction section,,,,,,,8,,
3220,,,,allow you to see,contribution,contribution,,,,,* allow% * to see,1,,8,8,NULL
3206,,,,allow you to,contribution,contribution,,,,,* allow% * to,1,,8,8,NULL
3219,,,,allow you  to understand,contribution,contribution,,,,,* allow% you to *,1,,8,8,NULL
79,,,,allow us to,contribution,contribution,,,,,* allow% us to,1,,8,8,NULL
,matan,,,alarming rate,problem statement,,,if in introduction section,,,,,,30,,
,,,,addresses only the question of,limitation,,,if appears after results section or in conclusions section,,,,,,5,,
,,,,addressed the need for,contribution,,,if in conclusion section,,,,,,8,,
,matan,,,address the problem,problem statement,,,if in introduction section,,,,,,30,,
,matan,,,address the needs of,problem statement,,,if in introduction section,,,,,,30,,
,,,,additonal benefit,contribution,,,if in conclusion section,,,,,,8,,
,,,,additional studies are required,problem statement,,,if appears in Introduction,,,,,,30,,
40,,,,additional studies are required,limitation,,,if appears after results section or in conclusions section,,,NULL,1,,6,6,
,,,,additional research is required,problem statement,,,if appears in Introduction,,,,,,30,,
42,,,,additional research is required,limitation,,,if appears after results section or in conclusions section,,,NULL,1,,6,6,
,,,,additional research is also needed to investigate,problem statement,if in introduction,,,,,,,,30,,
,,,,additional research is also needed to investigate,recommendation,if in conclusion section,,,,,,,,31,,
,,,,additional clarification is needed,problem statement,,if in introduction section,,,,,,,30,,
Sep13,,,empirical,additional analyses should examine,recommendation,,if in conclusion section,,,,,,,31,,
,,,,added value,contribution,,,if in conclusion section,,,,,,8,,
,,,,a potential limitation of this research,limitation,,,,,,,,,5,,
,,,,a possibility we leave open for exploration in future research,recommendation,,,,,,,,,31,,
,,,,a paucity of data,problem statement,,,if appears in Introduction section,,,,,,30,,
,,,,a number of limitations do exist,limitation,,,,,,,,,5,,
,,,,a number of limitations,limitation,,,,,,,,,5,,
4918,,,,a number of limitations,limitation,limitation,,if appears after results section or in conclusions section,,,NULL,1,,13,13,
,,,,a need to identify factors that impact,limitation,if in conclusion section,,,,,,,,5,,
,,,,A major limitation of the current study was the composition of the,limitation,if in conclusion section,,,,,,,,5,,
,,,,A major limitation of the current study was,limitation,if in conclusion section,,,,,,,,5,,
,,,,A limitation specific to,limitation,,,,,,,,,5,,
,,,,A first limitation is our methodological,limitation,,,,,,,,,5,,
,,,,A first limitation is,limitation,,,,,,,,,5,,
,,,,A finer-grained … is necessary to … understand,problem statement,if in introduction,,,,,,,,30,,
,,,,A finer-grained … is necessary to … understand,recommendation,if in conclusion section,,,,,,,,31,,
,,,,a clear need for research in this area since,problem statement,,,,,,,,,30,,
6888,matan,,,our hypotheses,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7926,matan added ordinal,,,{ordinal number} hypothesis,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7962,matan,,,we also expected that,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7882,matan,,,we address the question of,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7917,matan,,,tested the following hypothesis,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
6154,matan,,,we test whether,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,0,,25,25,NULL
2788,matan,,,test the hypothesis,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7674,matan,,,set of research questions,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7891,matan,,,Semantic Parsing using Distributional Semantics and Probabilistic Logic,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
6917,matan,,,research questions were as follows,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7897,matan,,,research questions were,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7909,matan,,,research questions,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
1990,matan,,,research question was,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
6513,matan,,,our prediction,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
6496,,,,We predicted that,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7928,,,,we posit that,hypothesis/research question,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7894,matan,,,we predicted,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7893,matan,,,it was hypothesized that,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
6155,matan,,,hypothesized that,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
Sep13,matan,,,hypothesized as,hypothesis/research question,research question,self ref,deictic work ref,,,,,,25,,
8014,matan,,,hypothesis:,hypothesis/research question,research question,self ref,deictic work ref,,,,,,25,,
1989,matan,,,our hypothesis was,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
1159,matan,,,hypothesis in this,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
6111,matan,,,our hypothesis,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
1156,matan,,,hypotheses were,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7896,matan,,,our hypotheses,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
1006,matan,,,following hypothesis,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7887,matan,,,following hypotheses,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7923,matan,,,first hypothesis,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7927,matan,,,final hypothesis,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
Sep13,matan,,,address questions of,hypothesis/research question,research question,self ref,deictic work ref,,,,,,25,,
,,,,theory has seldom been applied,problem statement,,,,,,,,,30,,
,,,,the sample tends to skew towards,limitation,,,,,,,,,5,,
,,,,a selection bias may have influenced the results,limitation,,if in conclusion section,,,,,,,5,,
NOV24,,,,few studies examine the impact,problem statement,,,,,,,,,,,
NOV24,,,,first contribution,contribution,,,,,,,,,,,
NOV24,,,,contribution of this study to,contribution,,,,,,,,,,,
NOV24,,,,few studies exist,problem statement,,,,,,,,,,,
NOV24,,,,This study adds to,contribution,,,,,,,,,,,
NOV24,,,,hypothesis {ordinal}... predicted that,hypothesis,,,,,,,,,,,
NOV24,,,,Our research uncovered,contribution,,,,,,,,,,,
NOV24,,,,continues to remain important,problem statement,,if in introduction,,,,,,,,,
NOV24,,,,these findings encourage,contribution,,,,,,,,,,,
NOV24,,,,is less well understood and has important implications for,problem statement,,if in introduction,,,,,,,,,
NOV24,,,,is less well understood ,problem statement,,if in introduction,,,,,,,,,
Sep13,,,,address the problem,own purpose,,self ref and/or deictic work ref,,,,,,,,,
7786,,,,aim of the present research,own purpose,,deictic work ref,,,,,,,,,
7787,,,,aims of the present research,own purpose,,deictic work ref,,,,,,,,,
7782,,,,aim of the present study,own purpose,,deictic work ref,,,,,,,,,
7792,,,,aims of the present study,own purpose,,deictic work ref,,,,,,,,,
7794,,,,aims of this paper,own purpose,,deictic work ref,,,,,,,,,
7686,,,,aim of this paper is,own purpose,,deictic work ref,,,,,,,,,
7795,,,,aim of this paper was,own purpose,,deictic work ref,,,,,,,,,
7685,,,,aims of this research,own purpose,,deictic work ref,,,,,,,,,
7784,,,,aim of this research is,own purpose,,deictic work ref,,,,,,,,,
7785,,,,aim of this research was,own purpose,,deictic work ref,,,,,,,,,
6599,,,,aim of this study,own purpose,,deictic work ref,,,,,,,,,
7683,,,,aim of this study is,own purpose,,deictic work ref,,,,,,,,,
7780,,,,aim of this study was,own purpose,,deictic work ref,,,,,,,,,
7791,,,,aims of the research are,own purpose,,deictic work ref,,,,,,,,,
6607,,,,aims of this chapter,own purpose,,deictic work ref,,,,,,,,,
7796,,,,aims of this paper are,own purpose,,deictic work ref,,,,,,,,,
7797,,,,aims of this paper were,own purpose,,deictic work ref,,,,,,,,,
7788,,,,aims of this research are,own purpose,,deictic work ref,,,,,,,,,
7789,,,,aims of this research were,own purpose,,deictic work ref,,,,,,,,,
7781,,,,aims of this study,own purpose,,deictic work ref,,,,,,,,,
7684,,,,aims of this study are,own purpose,,deictic work ref,,,,,,,,,
7779,,,,aims of this study were,own purpose,,deictic work ref,,,,,,,,,
5288,,,,another goal of this study,own purpose,,deictic work ref,,,,,,,,,
221,,,,attempt to establish a link between,own purpose,,self ref and/or deictic work ref,if self ref and deictic reference  in the Introduction,,,,,,,,
223,,,,attempt to fill this gap between,own purpose,,self ref and/or deictic work ref,if  in the Introduction section,,,,,,,,
4246,,,,central aim of this research is to,own purpose,,deictic work ref,,,,,,,,,
402,,,empirical ,clarify the relationship between,own purpose,,self ref and/or deictic work ref,self ref plus deictic ,,,,,,,,
Sep13,,,,expect to find,own purpose,,self ref,deictic work ref,,,,,,,,
7799,,,,goal of the research is,own purpose,,deictic work ref,,,,,,,,,
5687,,,,goal of the research was to,own purpose,,deictic work ref,,,,,,,,,
7692,,,,goal of this paper,own purpose,,deictic work ref,,,,,,,,,
7800,,,,goal of this paper is,own purpose,,deictic work ref,,,,,,,,,
7801,,,,goal of this paper was,own purpose,,deictic work ref,,,,,,,,,
7688,,,,goal of this research is,own purpose,,deictic work ref,,,,,,,,,
6892,,,,goal of this study is,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,goals of our work,own purpose,,deictic work ref,,,,,,,,,
7798,,,,goals of this paper are,own purpose,,deictic work ref,,,,,,,,,
7802,,,,goals of this paper were,own purpose,,deictic work ref,,,,,,,,,
7689,,,,goals of this research,own purpose,,deictic work ref,,,,,,,,,
5683,,,,goals of this study,own purpose,,deictic work ref,,,,,,,,,
6891,,,,goals of this study are,own purpose,,deictic work ref,,,,,,,,,
7778,,,,goals of this study were,own purpose,,deictic work ref,,,,,,,,,
4184,,,,have attempted in this chapter to,own purpose,,deictic work ref,,,,,,,,,
8013,,,,in the present study we focused,own purpose,,deictic work ref,,,,,,,,,
7956,,,,in this article our focus,own purpose,,deictic work ref,,,,,,,,,
7936,,,,in this article our focus is,own purpose,,deictic work ref,,,,,,,,,
7934,,,,in this article the focus is,own purpose,,deictic work ref,,,,,,,,,
7259,,,,in this article we ,own purpose,,deictic work ref,,,,,,,,,
7946,,,,in this article we focus on,own purpose,,deictic work ref,,,,,,,,,
7947,,,,in this article we focused on,own purpose,,deictic work ref,,,,,,,,,
4205,,,,In this chapter we are interested,own purpose,,,,,,,,,,,
4363,,,,in this chapter we examine,own purpose,,deictic work ref,,,,,,,,,
4332,,,,in this chapter we explain,own purpose,,deictic work ref,,,,,,,,,
4333,,,,in this chapter we explore,own purpose,,deictic work ref,,,,,,,,,
4312,,,,in this chapter we explored,own purpose,,deictic work ref,,,,,,,,,
4217,,,,in this chapter we will,own purpose,,deictic work ref,,,,,,,,,
4317,,,,in this chapter we will explore,own purpose,,deictic work ref,,,,,,,,,
7954,,,,in this paper our focus,own purpose,,deictic work ref,,,,,,,,,
7933,,,,in this paper our focus is on,own purpose,,deictic work ref,,,,,,,,,
7932,,,,in this paper the focus is on,own purpose,,deictic work ref,,,,,,,,,
7710,,,,in this paper we,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,In this paper we address,own purpose,,deictic work ref,,,,,,,,,
7704,,,,in this paper we attempt to,own purpose,,deictic work ref,,,,,,,,,
7705,,,,in this paper we attempted,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,In this paper we discuss,own purpose,,,,,,,,,,,
7713,,,,in this paper we examine,own purpose,,deictic work ref,,,,,,,,,
7714,,,,in this paper we examined,own purpose,,deictic work ref,,,,,,,,,
7706,,,,in this paper we explore,own purpose,,deictic work ref,,,,,,,,,
7707,,,,in this paper we explored,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,In this paper we focus,own purpose,,,,,,,,,,,
7941,,,,in this paper we focus on,own purpose,,deictic work ref,,,,,,,,,
7943,,,,in this paper we focused on,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,In this paper we have presented,own purpose,,deictic work ref,,,,,,,,,
7711,,,,in this paper we investigate,own purpose,,deictic work ref,,,,,,,,,
7712,,,,in this paper we investigated,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,In this paper we present,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,In this paper we presented,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,In this paper we propose,own purpose,,deictic work ref,,,,,,,,,
7681,,,,in this paper we seek to,own purpose,,deictic work ref,,,,,,,,,
7708,,,,in this paper we show,own purpose,,deictic work ref,,,,,,,,,
7709,,,,in this paper we showed,own purpose,,deictic work ref,,,,,,,,,
7717,,,,in this paper we sought,own purpose,,deictic work ref,,,,,,,,,
6602,,,,in this paper we sought to,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,In this paper we will,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,in this paper we will concentrate on,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,in this paper we will focus on,own purpose,,deictic work ref,,,,,,,,,
7842,,,,"in this paper, we first",own purpose,,deictic work ref,,,,,,,,,
7958,,,,in this report our focus,own purpose,,deictic work ref,,,,,,,,,
7940,,,,in this report our focus is,own purpose,,deictic work ref,,,,,,,,,
7939,,,,in this report the focus is,own purpose,,deictic work ref,,,,,,,,,
7854,,,,in this report we begin,own purpose,,deictic work ref,,,,,,,,,
7849,,,,in this report we first,own purpose,,deictic work ref,,,,,,,,,
7950,,,,in this report we focus on,own purpose,,deictic work ref,,,,,,,,,
7953,,,,in this report we focused on,own purpose,,deictic work ref,,,,,,,,,
4381,,,,"in this report, we first",own purpose,,deictic work ref,,,,,,,,,
7957,,,,in this research our focus,own purpose,,deictic work ref,,,,,,,,,
7938,,,,in this research our focus is,own purpose,,deictic work ref,,,,,,,,,
7937,,,,in this research the focus is,own purpose,,deictic work ref,,,,,,,,,
7731,,,,in this research we attempt,own purpose,,deictic work ref,,,,,,,,,
7732,,,,in this research we attempted,own purpose,,deictic work ref,,,,,,,,,
7738,,,,in this research we examine,own purpose,,deictic work ref,,,,,,,,,
7739,,,,in this research we examined,own purpose,,deictic work ref,,,,,,,,,
7733,,,,in this research we explore,own purpose,,deictic work ref,,,,,,,,,
7734,,,,in this research we explored,own purpose,,deictic work ref,,,,,,,,,
7948,,,,in this research we focus on,own purpose,,deictic work ref,,,,,,,,,
7949,,,,in this research we focused on,own purpose,,deictic work ref,,,,,,,,,
7729,,,,in this research we seek,own purpose,,deictic work ref,,,,,,,,,
7735,,,,in this research we show,own purpose,,deictic work ref,,,,,,,,,
7736,,,,in this research we showed,own purpose,,deictic work ref,,,,,,,,,
7730,,,,in this research we sought,own purpose,,deictic work ref,,,,,,,,,
7737,,,,in this research we will show,own purpose,,deictic work ref,,,,,,,,,
4379,,,,"in this research, we first",own purpose,,deictic work ref,,,,,,,,,
4207,,,,in this section an attempt will be made to,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,in this section I have,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,in this section I will,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,In this section we,own purpose,,deictic work ref,,,,,,,,,
4218,,,,in this section we argue that,own purpose,,deictic work ref,,,,,,,,,
4329,,,,in this section we begin,own purpose,,deictic work ref,,,,,,,,,
7955,,,,in this study our focus,own purpose,,deictic work ref,,,,,,,,,
7931,,,,in this study our focus is on,own purpose,,deictic work ref,,,,,,,,,
7715,,,,in this study we,own purpose,,deictic work ref,,,,,,,,,
7719,,,,in this study we attempt,own purpose,,deictic work ref,,,,,,,,,
6862,,,,in this study we attempted to,own purpose,,deictic work ref,,,,,,,,,
7852,,,,in this study we begin,own purpose,,deictic work ref,,,,,,,,,
7726,,,,in this study we examine,own purpose,,deictic work ref,,,,,,,,,
7727,,,,in this study we examined,own purpose,,deictic work ref,,,,,,,,,
7720,,,,in this study we explore,own purpose,,deictic work ref,,,,,,,,,
7721,,,,in this study we explored,own purpose,,deictic work ref,,,,,,,,,
7850,,,,in this study we first,own purpose,,deictic work ref,,,,,,,,,
7942,,,,in this study we focus on,own purpose,,deictic work ref,,,,,,,,,
7945,,,,in this study we focused on,own purpose,,deictic work ref,,,,,,,,,
7724,,,,in this study we investigate,own purpose,,deictic work ref,,,,,,,,,
7725,,,,in this study we investigated,own purpose,,deictic work ref,,,,,,,,,
7716,,,,in this study we seek,own purpose,,deictic work ref,,,,,,,,,
7722,,,,in this study we show,own purpose,,deictic work ref,,,,,,,,,
7723,,,,in this study we showed,own purpose,,deictic work ref,,,,,,,,,
7718,,,,in this study we sought,own purpose,,deictic work ref,,,,,,,,,
7930,,,,"in this study, the focus is on",own purpose,,deictic work ref,,,,,,,,,
4220,,,,in this unit we show,own purpose,,deictic work ref,,,,,,,,,
1373,,,,investigate the relationship between,own purpose,,self ref,deictic work ref,,,,,,,,
7696,,,,objective of this paper,own purpose,,deictic work ref,,,,,,,,,
7803,,,,objective of this paper is,own purpose,,deictic work ref,,,,,,,,,
7804,,,,objective of this paper was,own purpose,,deictic work ref,,,,,,,,,
7695,,,,objective of this research,own purpose,,deictic work ref,,,,,,,,,
7694,,,,objective of this study,own purpose,,deictic work ref,,,,,,,,,
7697,,,,objectives of this paper,own purpose,,deictic work ref,,,,,,,,,
7805,,,,objectives of this paper are,own purpose,,deictic work ref,,,,,,,,,
7806,,,,objectives of this paper were,own purpose,,deictic work ref,,,,,,,,,
6598,,,,objectives of this research,own purpose,,deictic work ref,,,,,,,,,
7809,,,,objectives of this research are,own purpose,,deictic work ref,,,,,,,,,
7810,,,,objectives of this research were,own purpose,,deictic work ref,,,,,,,,,
6603,,,,objectives of this study,own purpose,,deictic work ref,,,,,,,,,
7811,,,,objectives of this study are,own purpose,,deictic work ref,,,,,,,,,
7812,,,,objectives of this study were,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,one of the goals of our work is,own purpose,,,,,,,,,,,
Sep13,,,,our aim in this paper is to,own purpose,,deictic work ref,,,,,,,,,
66,,,,our aim in this study is to,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,our aim was to provide,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,our aims were to provide,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,our goal however is to develop a mechanism for,own purpose,,deictic work ref,,,,,,,,,
6605,,,,our goal in this study is to,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,our goal is to,own purpose,,deictic work ref,,,,,,,,,
4242,,,,our main aim is to,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,our objective is,own purpose,,self ref,deictic work ref,,,,,,,,
Sep13,,,,our objective is not to,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,Our paper addresses,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,our research addresses,own purpose,,,,,,,,,,,
6601,,,,our research sought to,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,Our short term goal is to,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,our short term goal is to propose,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,our short-term goal is to,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,our short-term goal was to,own purpose,,deictic work ref,,,,,,,,,
Sep13,,,,our study addresses,own purpose,,deictic work ref,,,,,,,,,
5719,,,,purpose of the study,own purpose,,self ref,deictic work ref,,,,,,,,
7702,,,,purpose of this paper,own purpose,,self ref,deictic work ref,,,,,,,,
7816,,,,purpose of this paper is,own purpose,,self ref,deictic work ref,,,,,,,,
7817,,,,purpose of this paper was,own purpose,,self ref,deictic work ref,,,,,,,,
7700,,,,purpose of this research,own purpose,,self ref,deictic work ref,,,,,,,,
7818,,,,purpose of this research is,own purpose,,self ref,deictic work ref,,,,,,,,
7819,,,,purpose of this research was,own purpose,,self ref,deictic work ref,,,,,,,,
