Id,Empirical research specificity,Word / Pattern,Category name,Subitem category (functional role of sentence ( flow logic),Sensitivity to Additional Parameter,Sensitivity to Additional Parameter,Subitem category (functional role of sentence              ( flow logic),Sensitivity to Additional Parameter,Weight - TBD by Machine,Category number,Status,MarkerTypeId,comment,Description
,,needs to be explored further,problem statement,if in introduction section ,,,,,,30,,,,
,,needs to be explored further,recommendation,if in conclusion section,,,,,,31,,,,
,,despite the fact that,problem statement,if in introduction section ,,,,,,30,,,,
,,was conducted in only one,problem statement,if in introduction section ,,,,,,30,,,,
,,was conducted in only one,limitation,if in conclusion section,,,,,,5,,,,
,,the question of … remains open,problem statement,if introduction,,,,,,30,,,,
,,the question of … remains open,limitation,if conclusion,,,,,,5,,,,
,,"future research, therefore, should be conducted",problem statement,if in introduction section ,,,,,,30,,,,
,,"future research, therefore, should be conducted",recommendation,if conclusion,,,,,,31,,,,
,,future research should be conducted ,problem statement,if in introduction section ,,,,,,30,,,,
,,future research should be conducted ,recommendation,if conclusion,,,,,,31,,,,
,,it remains unclear whether,limitation,if conclusion,,,,,,5,,,,
,,it remains unclear whether,problem statement,if in introduction section ,,,,,,30,,,,
,,A limitation specific to,limitation,,,,,,,5,,,,
,,these studies are subject to,limitation,,,,,,,5,,,,
,,some limitations that should be noted,limitation,,,,,,,5,,,,
,,One limitation is the potential for,limitation,,,,,,,5,,,,
,,the possibility of … cannot be completely ruled out,limitation,,,,,,,5,,,,
,,which can inflate correlations,limitation,,,,,,,5,,,,
,,and raise questions about causal direction,limitation,,,,,,,5,,,,
,,the possibility of … cannot be completely …,limitation,,,,,,,5,,,,
,,Future research might ,recommendation,,,,,,,31,,,,
,,future research might use a ... to explore,recommendation,,,,,,,31,,,,
,,Another potential limitation is,limitation,,,,,,,5,,,,
,,Future research should,problem statement,if in introduction,,,,,,30,,,,
,,Future research should,recommendation,if in conclusion section,,,,,,31,,,,
,,Future research could,problem statement,if in introduction,,,,,,30,,,,
,,Future research could,recommendation,if in conclusion section,,,,,,31,,,,
,,It may also be fruitful to explore,recommendation,,,,,,,31,,,,
,,a potential limitation of this research,limitation,,,,,,,5,,,,
,,While a great deal of research has …,problem statement,if in introduction,,,,,,30,,,,
,,far less is known about,problem statement,if in introduction,,,,,,30,,,,
,,far less is known about,recommendation,if in conclusion section,,,,,,31,,,,
,,future researchers should examine,recommendation,,,,,,,31,,,,
,,Another possible limitation relates to,limitation,,,,,,,5,,,,
,,may have influenced our,limitation,,,,,,,5,,,,
,,helpful for future research to,recommendation,,,,,,,31,,,,
,,we encourage future research,recommendation,,,,,,,31,,,,
,,future research should attempt to,problem statement,if in introduction,,,,,,30,,,,
,,future research should attempt to,recommendation,if in conclusion section,,,,,,31,,,,
,,it would be helpful for future research to,recommendation,,,,,,,31,,,,
,,we call for …,recommendation,,,,,,,31,,,,
,,we call for … to cross-validate our findings,recommendation,,,,,,,31,,,,
,,We acknowledge several limitations to this study,limitation,,,,,,,5,,,,
,,"However, extraneous factors",limitation,,,,,,,5,,,,
,,could be influencing our results,limitation,,,,,,,5,,,,
,,were not randomly assigned to,limitation,,,,,,,5,,,,
,,This limits our ability to ,limitation,,,,,,,5,,,,
,,This limits our ability to rule out the possibility that,limitation,,,,,,,5,,,,
,,how our results generalize to other …,limitation,,,,,,,5,,,,
,,Future research might examine,recommendation,,,,,,,31,,,,
,,we were unable to address the long-term effects of,limitation,,,,,,,5,,,,
,,exists the possibility that the differences between the experimental and control groups,limitation,,,,,,,5,,,,
,,exists the possibility that the differences between ... groups,limitation,,,,,,,5,,,,
,,Our hope is that this study will spark... ,contribution,,,,,,,8,,,,
,,this study will spark continued interest,contribution,,,,,,,8,,,,
,,"The results of this study should be considered in light of
its limitations",limitation,,,,,,,5,,,,
,,light of its limitations,limitation,,,,,,,5,,,,
,,research should explore,recommendation,,,,,,,31,,,,
,,Future work,recommendation,,,,,,,31,,,,
,,should endeavor to,recommendation,,,,,,,31,,,,
,,A finer-grained … is necessary to … understand ,problem statement,if in introduction,,,,,,30,,,,
,,A finer-grained … is necessary to … understand ,recommendation,if in conclusion section,,,,,,31,,,,
,,necessary to ... understand,recommendation,if in conclusion section,,,,,,31,,,,
,,necessary to ... understand,problem statement,if in introduction,,,,,,30,,,,
,,sample size for this study was relatively small,limitation,,,,,,,5,,,,
,,Future work is also necessary to,recommendation,,,,,,,31,,,,
,,Although this limitation is partially offset by,limitation,,,,,,,5,,,,
,,spills over to affect,problem statement,,,,,,,30,,,,
,,These contributions must be qualified in light of,limitation,,,,,,,5,,,,
,,several limitations of our research,limitation,,,,,,,5,,,,
,,A first limitation is our methodological,limitation,,,,,,,5,,,,
,,A first limitation is ,limitation,,,,,,,5,,,,
,,second limitation is,limitation,,,,,,,5,,,,
,,Future work should also explore,recommendation,if in conclusion section,,,,,,31,,,,
,,Future work could also explore,problem statement,if in introduction,,,,,,30,,,,
,,Another important area of future inquiry concerns,recommendation,,,,,,,31,,,,
,,our research highlights the importance of,contribution,,,,,,,8,,,,
,,our ... laid the foundations for,contribution,,,,,,,8,,,,
,,our … laid the groundwork for,contribution,,,,,,,8,,,,
,,suggests a need to identify factors that impact,problem statement,if in introduction section ,,,,,,30,,,,
,,a need to identify factors that impact,limitation,if in conclusion section,,,,,,5,,,,
,,a number of limitations ,limitation,,,,,,,5,,,,
,,a number of limitations do exist,limitation,,,,,,,5,,,,
,,caution must be exercised when ,limitation,,,,,,,5,,,,
,,must be exercised when generalizing the results,limitation,,,,,,,5,,,,
,,even though the sample size in this … was,limitation,,,,,,,5,,,,
,,some selection bias,limitation,,,,,,,5,,,,
,,Future research should focus on,recommendation,,,,,,,31,,,,
,,additional research is also needed to investigate,problem statement,if in introduction,,,,,,30,,,,
,,additional research is also needed to investigate,recommendation,if in conclusion section,,,,,,31,,,,
,,future research could expand,recommendation,,,,,,,31,,,,
,,This study extends previous research,contribution ,,,,,,,8,,,,
,,"Although potential benefits … could be …, … face … challenge",problem statement,,,,,,,30,,,,
,,There are several limitations to our ... that should be considered,limitation,,,,,,,5,,,,
,,There are several limitations to our ... ,limitation,,,,,,,5,,,,
,,very few studies have examined,problem statement,if in introduction,recommendation,if in conclusion section,,,,30,,,,
,,There are a number of limitations to this study.,limitation,,,,,,,5,,,,
,,convenience sampling framework,limitation,,,,,,,5,,,,
,,these results should be interpreted with caution,limitation,,,,,,,5,,,,
,,Future researchers may wish to,recommendation,,,,,,,31,,,,
,,overlooked,problem statement,if in introduction,,,,,,30,,,,
,,validity of the results of this study might be limited to,limitation,,,,,,,5,,,,
,,is a subject for further research,recommendation,,,,,,,31,,,,
,,future studies should,recommendation,,,,,,,31,,,,
,,largely depends on,problem statement,if in introduction,,,,,,30,,,,
,,This study adds to the theoretical framework,contribution,,,,,,,8,,,,
,,The second contribution of this study … is the finding of,contribution,,,,,,,8,,,,
,,It is important to understand ...limitations of the study,limitation,,,,,,,5,,,,
,,There are at least ... limitations,limitation,,,,,,,5,,,,
,,The first limitation deals with the nature of a,limitation,,,,,,,5,,,,
,,there is a need for a well-designed longitudinal,limitation,if in conclusion section,,,,,,5,,,,
,,there is a need for ... longitudinal,limitation,if in conclusion section,,,,,,5,,,,
,,there is a need for a ,recommendation,if in conclusion section,,,,,,31,,,,
,,there is a need for a,problem statement,if in introduction,,,,,,30,,,,
,,The second limitation is the fact that the questionnaire design can also  ,limitation,,,,,,,5,,,,
,,The ... limitation is the fact that ,limitation,,,,,,,5,,,,
,,The third limitation of the study results from the data collection method,limitation,,,,,,,5,,,,
,,results of the study may be limited in their generalizability,limitation,,,,,,,5,,,,
,, the sample tends to skew towards,limitation,,,,,,,5,,,,
,,The study deepens the existing conceptualizations,contribution,,,,,,,8,,,,
,,The study draws attention to,contribution,,,,,,,8,,,,
,,This study highlights,contribution,,,,,,,8,,,,
,,study sheds light on the key role,contribution,,,,,,,8,,,,
,,study sheds light on ,contribution,,,,,,,8,,,,
,,this study highlights,contribution,,,,,,,8,,,,
,,the empirical literature has produced mixed results regarding,problem statement,,,,,,,30,,,,
,,has produced mixed results ,problem statement,,,,,,,30,,,,
,,research … has been limited by its overwhelming reliance on ,problem statement,,,,,,,30,,,,
,,a possibility we leave open for exploration in future research,recommendation,,,,,,,31,,,,
,,the results of this study are open to the criticism that,limitation,,,,,,,5,,,,
,, theory has seldom been applied,problem statement,,,,,,,30,,,,
,,a clear need for research in this area since ,problem statement,,,,,,,30,,,,
,,likely to be a major factor in ,problem statement,if in introduction,,,,,,30,,,,
,,"However, there are still limitations to this questionnaire",limitation,,,,,,,5,,,,
,,this ... should prove useful for,contribution,,,,,,,8,,,,
,,"explained above, this ... was not able to",limitation,,,,,,,5,,,,
,,will be revealed by future research,recommendation,,,,,,,31,,,,
,,extended research is necessary ,problem statement,if in introduction,,,,,,30,,,,
,,extended research is necessary,recommendation,if in conclusion section,,,,,,31,,,,
,,needs to be used with a wide variety of,limitation,,,,,,,5,,,,
,,difficult to draw firm conclusions given the small sample size and the difficulties,limitation,,,,,,,5,,,,
,,difficult to draw firm conclusions ,limitation,,,,,,,5,,,,
